epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,183.765,0.98156,0.53509,1.32211,0.9734,1,0.995,0.77034,0.91572,0.48869,1.12397,0.00171884,0.00171884,0.00171884
73,186.3,0.98568,0.54298,1.34547,1,0.99694,0.995,0.8955,0.60046,0.48271,0.9472,0.00171488,0.00171488,0.00171488
74,188.857,0.90583,0.54677,1.28964,0.98717,1,0.995,0.82415,0.68199,0.46721,0.97937,0.00171092,0.00171092,0.00171092
75,191.417,0.93211,0.5575,1.31627,0.99035,1,0.995,0.80195,0.73111,0.4228,1.03564,0.00170696,0.00170696,0.00170696
76,193.927,0.97078,0.55523,1.38154,0.9909,1,0.995,0.76234,0.86614,0.43222,1.10242,0.001703,0.001703,0.001703
77,196.476,0.90157,0.50315,1.25391,0.9911,1,0.995,0.77079,0.854,0.41101,1.07461,0.00169904,0.00169904,0.00169904
78,199.028,0.92835,0.52724,1.28893,0.99128,1,0.995,0.76876,1.0069,0.45034,1.16994,0.00169508,0.00169508,0.00169508
79,201.697,0.99022,0.54996,1.36552,0.99096,1,0.995,0.70917,1.21126,0.48605,1.34736,0.00169112,0.00169112,0.00169112
80,204.233,0.93007,0.54895,1.285,0.98152,1,0.995,0.72689,1.15717,0.63752,1.35384,0.00168716,0.00168716,0.00168716
81,206.771,0.91628,0.51175,1.28725,0.85664,1,0.995,0.7191,1.10651,0.84725,1.27295,0.0016832,0.0016832,0.0016832
82,209.304,0.88614,0.50548,1.25788,0.96053,1,0.995,0.7756,1.0213,0.72759,1.21648,0.00167924,0.00167924,0.00167924
83,211.841,0.89404,0.50774,1.2827,0.94621,1,0.995,0.77501,0.8975,0.78974,1.11696,0.00167528,0.00167528,0.00167528
84,214.374,0.92321,0.52851,1.25507,0.95178,1,0.995,0.82794,0.90483,0.90084,1.17064,0.00167132,0.00167132,0.00167132
85,216.918,0.91875,0.49885,1.29797,0.5306,0.94552,0.60915,0.42074,1.27876,2.0057,1.4733,0.00166736,0.00166736,0.00166736
86,219.457,0.90797,0.49749,1.26111,0.31335,1,0.35118,0.19278,1.6155,4.04751,1.77379,0.0016634,0.0016634,0.0016634
87,221.998,0.91042,0.50981,1.25641,0.61145,0.83333,0.90885,0.56924,0.99145,2.30774,1.22217,0.00165944,0.00165944,0.00165944
88,224.536,0.88164,0.50894,1.26828,0.62864,0.84788,0.94167,0.63609,0.99674,1.32835,1.17408,0.00165548,0.00165548,0.00165548
89,227.18,0.93197,0.52967,1.31423,0.98938,1,0.995,0.74928,0.87428,0.55477,1.07561,0.00165152,0.00165152,0.00165152
90,229.705,0.88452,0.5043,1.28623,0.78238,1,0.995,0.63349,1.14191,0.9443,1.23275,0.00164756,0.00164756,0.00164756
91,232.227,0.95025,0.51025,1.30262,0.84156,1,0.995,0.6576,1.1698,0.98851,1.29681,0.0016436,0.0016436,0.0016436
92,234.758,0.91204,0.51534,1.31384,0.74335,1,0.92667,0.52407,1.43473,0.99649,1.42146,0.00163964,0.00163964,0.00163964
93,237.293,0.88749,0.50981,1.25921,0.9908,1,0.995,0.66598,1.23959,0.63598,1.3681,0.00163568,0.00163568,0.00163568
94,239.823,1.01596,0.55671,1.30779,0.99079,1,0.995,0.76938,1.03109,0.42532,1.195,0.00163172,0.00163172,0.00163172
95,242.343,0.94034,0.50854,1.32803,0.99089,1,0.995,0.83009,0.85947,0.41564,1.12734,0.00162776,0.00162776,0.00162776
96,244.851,0.92061,0.50513,1.3126,0.99148,1,0.995,0.81562,0.72696,0.42148,1.03409,0.0016238,0.0016238,0.0016238
97,247.364,0.96674,0.53892,1.34469,0.99125,1,0.995,0.90392,0.63957,0.40661,0.98256,0.00161984,0.00161984,0.00161984
98,249.904,0.87383,0.5221,1.26721,0.98935,1,0.995,0.84609,0.81904,0.44288,1.08923,0.00161588,0.00161588,0.00161588
99,252.409,0.8984,0.5043,1.2814,0.98896,1,0.995,0.77086,0.86134,0.39567,1.12349,0.00161192,0.00161192,0.00161192
100,254.941,0.88693,0.50657,1.29005,0.99182,1,0.995,0.80912,0.66817,0.35183,0.99137,0.00160796,0.00160796,0.00160796
101,257.488,0.8963,0.49654,1.24951,0.99186,1,0.995,0.87907,0.6004,0.28658,0.9535,0.001604,0.001604,0.001604
102,260.115,0.90833,0.52094,1.24384,0.99181,1,0.995,0.84964,0.60957,0.33122,0.9424,0.00160004,0.00160004,0.00160004
103,262.631,0.88009,0.50999,1.28866,0.99152,1,0.995,0.854,0.59825,0.37407,0.94092,0.00159608,0.00159608,0.00159608
